연번,용도,장소,주소
77,불법 주정차 단속용,중동 효성해링턴플레이스 남편,대구광역시 수성구 중동 339
78,불법 주정차 단속용,제일빌딩 앞,대구광역시 수성구 만촌동 1036-26
79,불법 주정차 단속용,송원학원 앞,대구광역시 수성구 범어동 221-6
80,불법 주정차 단속용,삼성화재 앞,대구광역시 수성구 범어동 2-3
81,불법 주정차 단속용,수성시장 남편,대구광역시 수성구 수성동2가 39-164
82,불법 주정차 단속용,수성시장 북편,대구광역시 수성구 수성동2가 39-87
83,불법 주정차 단속용,세종빌딩 앞,대구광역시 수성구 신매동 367-5
84,불법 주정차 단속용,고산도서관 앞,대구광역시 수성구 신매동 571
85,불법 주정차 단속용,두산스포츠 앞,대구광역시 수성구 두산동 954-98
86,불법 주정차 단속용,동일초등학교 북편,대구광역시 수성구 수성동2가 8-1
87,불법 주정차 단속용,범어서한포레스트 북편,대구광역시 수성구 범어2동 177-1
88,불법 주정차 단속용,범어서한포레스트 남편,대구광역시 수성구 범어2동 177-1
89,불법 주정차 단속용,동천초교 앞,대구광역시 수성구 범어동 833
90,불법 주정차 단속용,범어초교 앞,대구광역시 수성구 범어동 884
91,불법 주정차 단속용,동도초교 앞,대구광역시 수성구 범어동 784-20
92,불법 주정차 단속용,노변초교 앞,대구광역시 수성구 시지동 499-1
93,불법 주정차 단속용,사월초교 앞,대구광역시 수성구 신매동 49-2
94,불법 주정차 단속용,서민갈비 앞,대구광역시 수성구 두산동 173-1
95,불법 주정차 단속용,놀부부대찌개 앞,대구광역시 수성구 들안로 30
96,불법 주정차 단속용,경북정육16번집 앞,대구광역시 수성구 들안로 48
97,불법 주정차 단속용,보약장어 앞,대구광역시 수성구 들안로 51-1
98,불법 주정차 단속용,라라코스트 앞,대구광역시 수성구 들안로 33-1
99,불법 주정차 단속용,남강회초밥 앞,대구광역시 수성구 들안로 17
100,불법 주정차 단속용,수성하늘채르레브,대구광역시 수성구 범물동 1399
101,불법 주정차 단속용,범어네거리 클래시아(범어역3번출구),대구광역시 수성구
102,불법 주정차 단속용,범어더리브스퀘어,대구광역시 수성구 범어동 1031
103,불법 주정차 단속용,힐스테이트범어 동편,대구광역시 수성구 범어동 117-37
104,불법 주정차 단속용,힐스테이트범어 서편,대구광역시 수성구 범어동 139-2
105,불법 주정차 단속용,범어에일린의뜰 북편,대구광역시 수성구 범어동 805-191
106,불법 주정차 단속용,범어에일린의뜰 남편,대구광역시 수성구 범어동 805-153
107,불법 주정차 단속용,범어에일린의뜰 남서편,대구광역시 수성구 범어동 806-30
108,불법 주정차 단속용,범어에일린의뜰 북서편,대구광역시 수성구 범어동 806-63
109,불법 주정차 단속용,범어화산샬레 앞,대구광역시 수성구 청호로413
110,불법 주정차 단속용,두산오거리(감동애),대구광역시 수성구 지범로12인근
111,불법 주정차 단속용,동원초등학교,대구광역시 수성구 국채보상로1000
112,불법 주정차 단속용,청림초등학교,대구광역시 수성구 고산로51
113,불법 주정차 단속용,지산초등학교,대구광역시 수성구 지범로17길 3-14
